URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/Payload-version-vs,2.0.0-Preview4,draft,,PayloadVersionVS,Payload Version Identifier Values,"Payload Version Identifier Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-AcknowledgementHeaderURI-vs,2.0.0-Preview4,draft,,AcknowledgementURIVS,Acknowledgement MessageHeader URI Values,"Acknowledgement MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-CauseOfDeathCodingHeaderURI-vs,2.0.0-Preview4,draft,,CauseOfDeathCodingURIVS,Cause of Death Coding MessageHeader URI Values,"Cause of Death Coding MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-CauseOfDeathCodingUpdateHeaderURI-vs,2.0.0-Preview4,draft,,CauseOfDeathCodingUpdateURIVS,Cause of Death Coding Update MessageHeader URI Values,"Cause of Death Coding Update MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-DemographicsCodingHeaderURI-vs,2.0.0-Preview4,draft,,DemographicsCodingHeaderURIVS,Demographics Coding  MessageHeader URI Values,"Demographics Coding  MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-DemographicsCodingUpdateHeaderURI-vs,2.0.0-Preview4,draft,,DemographicsCodingUpdateHeaderURIVS,Demographics Coding Update MessageHeader URI Values,"Demographics Coding Update MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-ExtractionErrorHeaderURI-vs,2.0.0-Preview4,draft,,ExtractionErrorHeaderURIVS,ExtractionError MessageHeader URI Values,"ExtractionError MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-IndustryOccupationHeaderURI-vs,2.0.0-Preview4,draft,,IndustryOccupationURIVS,Industry and Occupation MessageHeader URI Values,"Industry and Occupation MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-IndustryOccupationUpdateHeaderURI-vs,2.0.0-Preview4,draft,,IndustryOccupationUpdateURIVS,Industry and Occupation Update MessageHeader URI Values,"Industry and Occupation Update MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-Status-vs,2.0.0-Preview4,draft,,StatusVS,Status Codes Values,"Status Codes Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-StatusHeaderURI-vs,2.0.0-Preview4,draft,,StatusURIVS,Status MessageHeader URI Values,"Status MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-SubmissionHeaderURI-vs,2.0.0-Preview4,draft,,SubmissionURIVS,Submission MessageHeader URI Values,"Submission MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-UpdateHeaderURI-vs,2.0.0-Preview4,draft,,UpdateURIVS,Update MessageHeader URI Values,"Update MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-VOIDHeaderURI-vs,2.0.0-Preview4,draft,,VoidURIVS,Void MessageHeader URI Values,"Void MessageHeader URI Values",,"Internal"
