URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/Payload-version-vs,3.0.0-Preview1,draft,,PayloadVersionVS,Payload Version Identifier Values,"Payload Version Identifier Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-AcknowledgementHeaderURI-vs,3.0.0-Preview1,draft,,AcknowledgementURIVS,Acknowledgement MessageHeader URI Values,"Acknowledgement MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-CauseOfDeathCodingHeaderURI-vs,3.0.0-Preview1,draft,,CauseOfDeathCodingURIVS,Cause of Death Coding MessageHeader URI Values,"Cause of Death Coding MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-CauseOfDeathCodingUpdateHeaderURI-vs,3.0.0-Preview1,draft,,CauseOfDeathCodingUpdateURIVS,Cause of Death Coding Update MessageHeader URI Values,"Cause of Death Coding Update MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-CertAvailable-vs,3.0.0-Preview1,draft,,CertAvailableVS,Certificate Available Values,"Certificate Available Values",,"THO (V3),THO (V2)"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-DemographicsCodingHeaderURI-vs,3.0.0-Preview1,draft,,DemographicsCodingHeaderURIVS,Demographics Coding  MessageHeader URI Values,"Demographics Coding  MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-DemographicsCodingUpdateHeaderURI-vs,3.0.0-Preview1,draft,,DemographicsCodingUpdateHeaderURIVS,Demographics Coding Update MessageHeader URI Values,"Demographics Coding Update MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-ExtractionErrorHeaderURI-vs,3.0.0-Preview1,draft,,ExtractionErrorHeaderURIVS,ExtractionError MessageHeader URI Values,"ExtractionError MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-IndustryOccupationHeaderURI-vs,3.0.0-Preview1,draft,,IndustryOccupationURIVS,Industry and Occupation MessageHeader URI Values,"Industry and Occupation MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-IndustryOccupationUpdateHeaderURI-vs,3.0.0-Preview1,draft,,IndustryOccupationUpdateURIVS,Industry and Occupation Update MessageHeader URI Values,"Industry and Occupation Update MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-PregnancyOutcomes-vs,3.0.0-Preview1,draft,,PregnancyOutcomesVS,Pregnancy Outcome Values,"Pregnancy Outcome Values",,"THO (V3),SCT,Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-RequestHeaderURI-vs,3.0.0-Preview1,draft,,RequestURIVS,Request MessageHeader URI Values,"Request MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-Status-vs,3.0.0-Preview1,draft,,StatusVS,Status Codes Values,"Status Codes Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-StatusHeaderURI-vs,3.0.0-Preview1,draft,,StatusURIVS,Status MessageHeader URI Values,"Status MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-SubmissionHeaderURI-vs,3.0.0-Preview1,draft,,SubmissionURIVS,Submission MessageHeader URI Values,"Submission MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-UpdateHeaderURI-vs,3.0.0-Preview1,draft,,UpdateURIVS,Update MessageHeader URI Values,"Update MessageHeader URI Values",,"Internal"
http://cdc.gov/nchs/nvss/fhir/vital-records-messaging/ValueSet/VRM-VOIDHeaderURI-vs,3.0.0-Preview1,draft,,VoidURIVS,Void MessageHeader URI Values,"Void MessageHeader URI Values",,"Internal"
